주소1,주소2,주소3,회원수
Example State 008,Example City 453,Example District 3833,1
Example State 001,Example City 025,Example District 2721,1
Example State 001,Example City 025,Example District 1549,1
Example State 001,Example City 025,Example District 3135,1
Example State 012,Example City 430,Example District 3834,1
Example State 012,Example City 434,Example District 3835,1
Example State 012,Example City 434,Example District 3373,1
Example State 012,Example City 434,Example District 3836,1
Example State 009,Example City 017,Example District 1725,1
Example State 009,Example City 017,Example District 1278,1
Example State 009,Example City 032,Example District 1987,1
Example State 009,Example City 070,Example District 1846,1
Example State 009,Example City 070,Example District 2242,1
Example State 006,Example City 037,Example District 3041,1
Example State 006,Example City 037,Example District 2534,1
Example State 006,Example City 201,Example District 1180,1
Example State 016,Example City 260,Example District 1738,1
Example State 008,Example City 455,Example District 3837,1
Example State 006,Example City 067,Example District 1688,1
Example State 006,Example City 067,Example District 3313,1
Example State 006,Example City 067,Example District 1871,1
Example State 006,Example City 075,Example District 2163,1
Example State 011,Example City 447,Example District 3838,1
Example State 011,Example City 447,Example District 3839,1
Example State 008,Example City 087,Example District 3840,1
Example State 008,Example City 087,Example District 935,1
Example State 008,Example City 016,Example District 2132,1
Example State 008,Example City 016,Example District 2655,1
Example State 008,Example City 016,Example District 3259,1
Example State 008,Example City 082,Example District 1821,1
Example State 008,Example City 015,Example District 2327,1
Example State 008,Example City 015,Example District 1955,1
Example State 008,Example City 458,Example District 3841,1
Example State 008,Example City 458,Example District 3842,1
Example State 008,Example City 459,Example District 3843,1
Example State 008,Example City 459,Example District 3844,1
Example State 008,Example City 433,Example District 3845,1
Example State 008,Example City 015,Example District 2196,1
Example State 008,Example City 015,Example District 051,1
Example State 008,Example City 015,Example District 1756,1
