주소1,주소2,연령대,회원수
Example State 008,Example City 087,10대,1
Example State 008,Example City 466,10대,1
Example State 008,Example City 444,10대,1
Example State 001,Example City 001,80대 이상,1
Example State 013,Example City 043,20대,1
Example State 013,Example City 043,50대,1
Example State 008,Example City 234,20대,1
Example State 012,Example City 457,40대,1
Example State 014,Example City 277,20대,1
Example State 016,Example City 278,30대,1
Example State 008,Example City 459,50대,1
Example State 012,Example City 279,20대,1
Example State 008,Example City 199,20대,1
Example State 015,Example City 214,40대,1
Example State 015,Example City 215,30대,1
Example State 008,Example City 087,60대,1
Example State 005,Example City 010,60대,1
Example State 005,Example City 228,30대,1
Example State 003,Example City 262,50대,1
Example State 005,Example City 270,20대,1
Example State 008,Example City 283,50대,1
Example State 003,Example City 284,30대,1
Example State 002,Example City 187,60대,1
Example State 014,Example City 285,30대,1
Example State 003,Example City 284,20대,1
Example State 005,Example City 081,50대,1
Example State 006,Example City 013,미상,1
Example State 005,Example City 237,30대,1
Example State 014,Example City 238,40대,1
Example State 001,Example City 018,미상,1
Example State 014,Example City 084,50대,1
Example State 016,Example City 065,50대,1
Example State 013,Example City 017,20대,1
Example State 092,Example City 177,40대,1
Example State 008,Example City 456,60대,1
Example State 003,Example City 062,60대,1
Example State 001,Example City 052,10대,1
Example State 006,Example City 194,60대,1
Example State 015,Example City 018,50대,1
Example State 003,Example City 451,50대,1
Example State 005,Example City 237,50대,1
Example State 015,Example City 186,70대,1
Example State 014,Example City 264,50대,1
Example State 006,Example City 056,60대,1
Example State 006,Example City 059,70대,1
Example State 008,Example City 441,60대,1
Example State 092,Example City 300,40대,1
Example State 015,Example City 203,20대,1
Example State 008,Example City 079,60대,1
Example State 012,Example City 434,60대,1
Example State 015,Example City 056,20대,1
Example State 014,Example City 435,50대,1
Example State 092,Example City 233,40대,1
Example State 008,Example City 180,60대,1
Example State 009,Example City 056,40대,1
Example State 008,Example City 455,70대,1
Example State 003,Example City 007,70대,1
Example State 006,Example City 053,70대,1
Example State 008,Example City 217,50대,1
Example State 092,Example City 310,40대,1
Example State 008,Example City 057,60대,1
Example State 014,Example City 193,10대,1
Example State 006,Example City 218,50대,1
Example State 006,Example City 068,60대,1
Example State 092,Example City 232,20대,1
Example State 004,Example City 213,40대,1
Example State 015,Example City 032,20대,1
Example State 008,Example City 441,20대,1
Example State 001,Example City 032,70대,1
Example State 092,Example City 314,30대,1
Example State 008,Example City 234,50대,1
Example State 003,Example City 171,10대,1
Example State 014,Example City 435,40대,1
Example State 008,Example City 315,30대,1
Example State 008,Example City 464,40대,1
Example State 014,Example City 259,50대,1
Example State 014,Example City 259,60대,1
Example State 092,Example City 316,30대,1
Example State 009,Example City 017,40대,1
Example State 008,Example City 462,70대,1
Example State 008,Example City 453,60대,1
Example State 003,Example City 284,60대,1
Example State 008,Example City 199,40대,1
Example State 014,Example City 193,40대,1
Example State 004,Example City 056,40대,1
Example State 001,Example City 205,80대 이상,1
Example State 004,Example City 056,30대,1
Example State 005,Example City 460,80대 이상,1
Example State 001,Example City 026,60대,1
Example State 005,Example City 228,40대,1
Example State 006,Example City 058,10대,1
Example State 013,Example City 017,50대,1
Example State 092,Example City 271,40대,1
Example State 092,Example City 233,10대,1
Example State 003,Example City 449,50대,1
Example State 008,Example City 174,50대,1
Example State 008,Example City 217,60대,1
Example State 003,Example City 247,50대,1
Example State 016,Example City 345,30대,1
Example State 012,Example City 263,60대,1
Example State 008,Example City 437,70대,1
Example State 009,Example City 032,60대,1
Example State 005,Example City 216,70대,1
Example State 003,Example City 029,70대,1
Example State 008,Example City 174,30대,1
Example State 012,Example City 352,50대,1
Example State 008,Example City 462,30대,1
Example State 005,Example City 467,20대,1
Example State 015,Example City 269,40대,1
Example State 008,Example City 046,20대,1
Example State 013,Example City 043,60대,1
Example State 015,Example City 203,70대,1
Example State 008,Example City 024,40대,1
Example State 006,Example City 061,60대,1
Example State 015,Example City 210,70대,1
Example State 008,Example City 016,50대,1
Example State 003,Example City 368,40대,1
Example State 010,Example City 211,50대,1
Example State 015,Example City 018,20대,1
Example State 003,Example City 450,60대,1
Example State 001,Example City 026,20대,1
Example State 004,Example City 008,60대,1
Example State 001,Example City 026,70대,1
Example State 013,Example City 032,70대,1
Example State 008,Example City 046,10대,1
Example State 008,Example City 102,60대,1
Example State 008,Example City 465,50대,1
Example State 006,Example City 027,70대,1
Example State 008,Example City 016,60대,1
Example State 014,Example City 196,60대,1
Example State 004,Example City 077,60대,1
Example State 012,Example City 392,40대,1
Example State 092,Example City 232,30대,1
Example State 016,Example City 396,30대,1
Example State 009,Example City 017,60대,1
Example State 012,Example City 434,50대,1
Example State 009,Example City 018,20대,1
Example State 012,Example City 399,40대,1
Example State 008,Example City 016,70대,1
Example State 092,Example City 401,40대,1
Example State 014,Example City 060,20대,1
Example State 003,Example City 071,60대,1
Example State 014,Example City 264,30대,1
Example State 003,Example City 172,30대,1
Example State 006,Example City 042,70대,1
Example State 014,Example City 265,30대,1
Example State 008,Example City 192,60대,1
Example State 009,Example City 070,40대,1
Example State 092,Example City 226,20대,1
Example State 011,Example City 447,70대,1
Example State 009,Example City 070,50대,1
Example State 008,Example City 191,30대,1
Example State 001,Example City 173,미상,1
Example State 014,Example City 438,50대,1
Example State 001,Example City 018,70대,1
Example State 008,Example City 261,40대,1
Example State 008,Example City 442,미상,1
Example State 008,Example City 439,미상,1
Example State 003,Example City 062,미상,1
Example State 001,Example City 032,미상,1
Example State 003,Example City 212,미상,1
Example State 001,Example City 014,미상,1
Example State 001,Example City 031,미상,1
Example State 008,Example City 455,미상,1
Example State 001,Example City 025,미상,1
Example State 001,Example City 038,미상,1
Example State 001,Example City 047,미상,1
Example State 003,Example City 431,미상,1
Example State 001,Example City 002,미상,1
Example State 006,Example City 042,미상,1
