No,입력시간(KST),날짜,연도,월,일,요일,플랫폼 1,플랫폼 2,콘텐츠 구분,프로그램,담당 부서,콘텐츠 제목,콘텐츠 형식,콘텐츠 내용,게시 담당자,진행 상태,비고,신청자,결과_링크,결과_첨부URL,결과_비고,직전 상태,상태 변경 KST,보류사유,재신청사유,취소사유,공연ID,
179,2026-10-21 16:00:00,2026-10-21 00:00:00,2026,10,21,수요일,블로그·맘카페,블로그,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,미디어아트 롱폼,텍스트,"[글 작성 방향]
아르떼 컨택 연계 · 검색 유입용",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:09:00,,,,261027_01,
168,2026-08-05 14:00:00,2026-08-05 00:00:00,2026,8,5,수요일,기타,-,공연,기타,예술사업팀,섬박람회 관련 홍보 전달,텍스트,"[플랫폼명]
보도자료

[본문]
ㅗㅓ

[홍보 의도]
ㅗㅓ",Avery Reed 08336,취소,,Avery Reed 08336,,,,예정,2026-08-06 09:38:55,,,,,
169,2026-08-04 17:00:00,2026-08-04 00:00:00,2026,8,4,화요일,인스타그램,-,공연,조재혁 피아노 리사이틀,예술사업팀,조재혁 리사이틀 홍보,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-08-05 08:52:48,,,,260912_01,
170,2026-08-05 10:30:00,2026-08-05 00:00:00,2026,8,5,수요일,기타,-,전시,기타,예술사업팀,안민환 작가 인터뷰 카드뉴스 컨펌,이미지,"[플랫폼명]
Taylor Parker 05068 선임님께 컨펌

[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[홍보 의도]
안민환 작가 홍보, 안민환 작가 장도 개인전 홍보",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-08-05 11:06:20,,,,,
169,2026-08-06 17:00:00,2026-08-06 00:00:00,2026,8,6,목요일,인스타그램,-,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 홍보,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-08-07 08:58:09,,,,261027_01,
169,2026-08-06 16:00:00,2026-08-06 00:00:00,2026,8,6,목요일,카카오톡,-,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 홍보,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU",Avery Reed 08336,완료,,Cameron Lane 09790,,,,예정,2026-08-07 08:58:26,,,,261027_01,
171,2026-08-25 13:00:00,2026-08-25 00:00:00,2026,8,25,화요일,블로그·맘카페,맘카페,공연,국립현대무용단 <트리플 빌>,예술사업팀,트리플 빌,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
<트리플 빌> <피아노피아노> <모차르트가족의음악이야기> 3개 공연을 묶어서, 교육적 효과(새로운 장르 접함) /쉽게 만나지 못하는 공연을 강조하는 내용으로 맘카페 홍보를 진행하고자 합니다.

<트리플 빌> 국립현대무용단의 무용수들이 선보이는 3개의 무용 작품을 한 번에 만나볼 수 있음
<피아노 피아노> 세계적인 프랑스 아티스트 2명이 함께 하는 미디어아트와 클래식, 퍼포먼스가 결합된 무경계장르 공연

<모차르트 가족의 음악~> 우리가 익히 아는 모차르트와 그의 아버지와 아들까지, 모차르트 가문이 남긴 음악적 유산을 당시에 사용된 악기를 고증한 시대악기를 통해 연주함으로써, 마치 18C로 이동한 듯한 느낌을 선사하는 특별한 클래식 공연",상관 없음,신청 중,3건 내용 동일합니다~!,Jordan Hayes 05274,,,,,2026-08-06 16:30:14,,,,261014_01,
172,2026-08-25 13:00:00,2026-08-25 00:00:00,2026,8,25,화요일,블로그·맘카페,맘카페,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노×2,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
<트리플빌>요청 건과 동일                                                                                      ",상관 없음,신청 중,,Jordan Hayes 05274,,,,,2026-08-06 16:31:05,,,,261027_01,
173,2026-08-25 13:00:00,2026-08-25 00:00:00,2026,8,25,화요일,블로그·맘카페,맘카페,공연,"18세기, 시대악기로 만나는 바로크의 정격연주",예술사업팀,바로크 바이올린 연주,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
트리플 빌 요청 건과 동일                                                                                           ",상관 없음,신청 중,,Jordan Hayes 05274,,,,,2026-08-06 16:31:58,,,,261022_01,
174,2026-08-07 11:00:00,2026-08-07 00:00:00,2026,8,7,금요일,인스타그램,-,전시,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,예술사업팀,숨쉬는섬 홍보 릴스,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DbuBSyaPaG5/,,,예정,2026-08-07 09:50:03,,,,260721_01,
175,2026-08-08 09:20:00,2026-08-08 00:00:00,2026,8,8,토요일,인스타그램,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치콘서트 반값에 보는 법?!,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀
브런치 콘서트 반값에 보는법?!
# 소개 문구
공연관람료할인 1만원 쿠폰 받는 법!
# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,해당 내용관련 ppt로 따로 전달드릴게요,Jordan Hayes 05274,https://www.instagram.com/p/DbxBwv7Eail/?img_index=1,,,예정,2026-08-08 14:21:38,,,,260903_01,
175,2026-08-11 17:00:00,2026-08-11 00:00:00,2026,8,11,화요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 홍보물,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/Db5KSdMEZ-G/?img_index=1,,,예정,2026-08-11 17:41:27,,,,260918_01,
174,2026-08-12 14:00:00,2026-08-12 00:00:00,2026,8,12,수요일,카카오톡,-,공연,국립현대무용단 <트리플 빌>,예술사업팀,트리플 빌,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",상관 없음,예정,,Avery Reed 08336,,,,,2026-08-12 10:54:32,,,,261014_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
